# No. Dip Dia
1	0.0	30.0
2	0.0	76.0
3	0.0	35.0
4	0.0	65.0
5	0.0	46.0
6	0.0	40.0
7	0.0	40.0
8	0.0	40.0
9	0.0	55.0
10	0.0	70.0
11	0.0	35.0
12	0.0	30.0
13	0.0	42.0
14	0.0	45.0
15	0.0	64.0
16	5.0	25.0
17	5.0	35.0
18	5.0	75.0
19	5.0	35.0
20	7.0	29.0
21	7.0	34.0
22	8.0	45.0
23	10.0	50.0
24	10.0	39.0
25	10.0	46.0
26	10.0	34.0
27	10.0	34.0
28	10.0	28.0
29	10.0	45.0
30	10.0	32.0
31	10.0	60.0
32	10.0	35.0
33	10.0	20.0
34	10.0	45.0
35	10.0	66.0
36	10.0	19.0
37	12.0	31.0
38	15.0	65.0
39	15.0	25.0
40	15.0	43.0
41	15.0	18.0
42	15.0	36.0
43	17.0	30.0
44	17.0	52.0
45	18.0	45.0
46	18.0	30.0
47	20.0	56.0
48	20.0	42.0
49	20.0	20.0
50	20.0	40.0
51	20.0	36.0
52	20.0	31.0
53	20.0	40.0
54	20.0	45.0
55	20.0	40.0
56	20.0	45.0
57	20.0	28.0
58	20.0	29.0
59	20.0	28.0
60	20.0	43.0
61	21.0	30.0
62	23.0	73.0
63	23.0	20.0
64	25.0	30.0
65	25.0	12.0
66	25.0	36.0
67	25.0	32.0
68	25.0	58.0
69	25.0	39.0
70	26.0	36.0
71	26.0	27.0
72	26.0	38.0
73	27.0	70.0
74	27.0	30.0
75	28.0	47.0
76	28.0	35.0
77	30.0	40.0
78	30.0	50.0
79	30.0	62.0
80	30.0	33.0
81	30.0	88.0
82	30.0	60.0
83	30.0	60.0
84	30.0	30.0
85	30.0	80.0
86	30.0	58.0
87	30.0	25.0
88	30.0	27.0
89	30.0	24.0
90	30.0	75.0
91	30.0	25.0
92	32.0	30.0
93	32.0	20.0
94	32.0	85.0
95	32.0	18.0
96	33.0	42.0
97	34.0	55.0
98	34.0	51.0
99	34.0	73.0
100	35.0	54.0
101	35.0	36.0
102	35.0	42.0
103	35.0	37.0
104	35.0	38.0
105	35.0	35.0
106	35.0	31.0
107	35.0	32.0
108	35.0	25.0
109	35.0	28.0
110	35.0	28.0
111	36.0	42.0
112	37.0	21.0
113	37.0	38.0
114	38.0	72.0
115	38.0	24.0
116	40.0	45.0
117	40.0	40.0
118	40.0	30.0
119	40.0	30.0
120	40.0	66.0
